name,ID,area,X,Y
UNVERZUG,18683000,137.2,4533054,2751901
KINNING,18801005,152.2,4532454,2760101
LINDEN,18803805,528.9,4511354,2811301
BIRNBACH,18806406,856.8,4530854,2815001
RUHSTORF,18808004,936.8,4548654,2818601
PANZING,18825003,114.2,4554754,2816001
BOBENTHAL,23720305,244.3,4511254,2816601
SIEBELDINGEN,23770507,204.7,4181225,2877009
PLOCHINGEN,23800100,3988,4178835,2901499
LAUFFEN,23800500,7900,4278240,2843959
ROCKENAU - SKA,23800690,12670,4259614,2884751
MONSHEIM,23920600,198.6,4248756,2924873
LORSCH,23942300,413,4190235,2948795
NAUHEIM,23980353,170.9,4217849,2951673
SCHWUERBITZ,24006007,2411,4209943,2983211
KEMMERN,24010004,4236,4403274,3006451
SCHWEINFURT-NEUER HAFEN,24022003,12700,4383684,2982383
STEINBACH,24050009,17890,4336804,2991011
KLEINHEUBACH,24064003,21500,4292649,2988650
UNTERLANGENSTADT,24143008,714.7,4265221,2956393
NEUKENROT,24146505,150,4408604,3008487
HORB,24149503,257.9,4412797,3024037
COBURG,24162206,364.9,4407189,3013222
SCHENKENAU,24163005,958.5,4389671,3015707
HEINERSDORF,24167006,366.2,4383210,3002138
HUETTENDORF,24201501,3867,4381029,3007589
PETTSTADT,24209004,6981,4391483,2937483
ROTH KLAERANLAGE,24210309,971.5,4388677,2969493
NUERNBERG,24225000,1192,4399734,2904742
LAUFERMUEHLE,24263000,942.2,4397365,2927679
SALZ,24403007,1047,4388166,2957527
BAD KISSINGE,24406005,1584,4334538,3022033
JOSSA,24480651,130.3,4290895,3015047
BIEBEREHREN,24623003,167.7,4322453,2933581
MICHELSTAD,24740606,128.7,4248635,2951642
HAINSTAD,24741303,324.1,4252747,2970305
GROSS BIEBERAU,24761050,158.3,4236751,2966404
HARRESHAUSEN,24762653,469,4248125,2985088
STEINAU,24780757,116.1,4283704,3023224
HANAU,24784259,925,4245653,3002772
UNTER-SCHMITTEN,24810600,123.7,4251688,3036450
FRIEDBERG,24841206,183.4,4233752,3025085
ILBENSTADT,24850058,1076,4235149,3019696
WINDECKEN,24861407,387.3,4240648,3012890
BAD VILBEL,24870055,1623,4231078,3008551
EPPSTEIN,24960307,110,4206583,3003968
HEIMBACH BHF.,25400054,318.3,4120961,2949209
OBERSTEIN,25400258,557.2,4129389,2958115
MARTINSTEIN,25400407,1467,4143659,2968654
BOOS,25400600,2835,4156818,2965590
GROLSHEIM,25400804,4012,4170942,2979812
KALLENFELS,25420404,253,4136069,2968407
KELLENBACH,25440401,361.7,4140415,2973509
ESCHENAU,25460307,604.5,4139003,2946132
ODENBACH,25460409,1094,4151603,2955623
UNTERSULZBACH,25460704,218.4,4151800,2937723
IMSWEILER,25480202,173,4163045,2946124
ALTENBAMBERG,25480304,319.2,4164806,2965428
HEDDESHEIM,25490400,166.4,4166695,2977131
PLANIG,25490614,170.2,4170757,2974294
PFAFFENTAL,25650156,170.5,4166916,2995587
LEUN,25800200,3557,4204460,3049488
KALKOFEN,25800608,5306,4170736,3025034
BIEDENKOPF,25810558,306.4,4217792,3089318
NIEDERWETTER,25811255,175.9,4232775,3087262
OBER-OFLEIDEN,25821259,314.6,4249109,3069747
GEMUENDEN,25822251,101.5,4248880,3095562
MARBURG,25830056,1663,4233897,3077086
LOLLAR,25831605,128.4,4230305,3060034
DILLENBURG,25840708,251.7,4199637,3071406
ASSLAR,25842500,694.3,4212204,3053452
ESSERSHAUSEN,25860851,221.7,4202674,3039473
NIEDERBRECHEN,25871756,305.2,4189219,3029618
KLOSTER ARNSTEI,25890102,112.9,4167904,3023463
WEINAEHR,25890306,208.5,4168373,3025577
SCHULMUEHL,25890805,144.8,4164413,3020402
PRUEMZURLA,26280504,576.9,4064909,2979008
ALSDORF OBERECKEN,26280854,255.5,4066787,2980599
THALEISCHWEILER,26420206,372.2,4144841,2908285
CONTWIG,26429308,525.1,4133124,2907882
HENTERN,26560103,101,4082133,2950081
JUENKERATH,26600300,174.9,4079085,3030216
DENSBORN,26600707,471.2,4078222,3008099
DREIS,26740604,187.6,4091970,2986520
PAPIERMUEHLE,26760306,169.5,4100909,2972846
PELTZERHAUS,26840507,175.5,4111884,2999097
KLOSTER ENGELPORT,26940501,113.9,4126452,3005216
LOHBRUECKE,26960600,162.1,4121316,3021207
BURGEN,26980700,105.7,4135263,3013549
WERNERSECK,27140205,240.1,4134237,3032030
NETTEGUT,27140500,367.6,4137890,3036999
SEIFEN,27160600,175.7,4147852,3059972
MUESCH,27180108,349.9,4095424,3035525
BETZDORF,27200500,757.1,4170377,3078001
HEIMBORN,27240301,218.1,4162182,3068834
EITORF,27259100,1473,4140678,3077023
HOFFNUNGSTHA,27288930,224.3,4123722,3092609
MENDEN 1,27291000,2829,4120762,3080162
KLUSERBRUECKE,27365100,333.5,4122691,3131033
GLUEDER,27367310,487.3,4119584,3117582
OPLADEN,27367900,603.2,4110367,3110875
MORENHOVEN,27425100,108.7,4105612,3065946
BLIESHEIM,27430000,614.2,4097190,3079035
LANGENICH,27467900,203.9,4086836,3088975
MESCHEDE,27615100,96.11,4201217,3138841
OEVENTROP,27617590,761.5,4190887,3144653
MENDEN,27649500,254.7,4166512,3150839
VILLIGST,27655900,2027,4152823,3150057
KICKENBACH,27661990,187.2,4187978,3112560
ROENKHAUSEN,27665300,883.6,4178115,3124767
ALTENA,27669300,1204,4158916,3133522
HAGEN-AMBROCK,27687750,193.8,4147943,3137664
HAGEN-HASPE,27688970,156.6,4141198,3140636
HAGEN-ECKESEY,27689000,426.2,4143513,3144695
HATTINGEN,27695100,4121,4123485,3147054
WEINE,27823700,144.8,4218728,3160072
NORDBORCHEN,27828900,328.1,4232331,3173327
BENTFELD,27833900,1025,4226432,3182939
KESSELER 3,27857900,2050,4188812,3174254
WESTTUENNEN,27867000,418,4173433,3175006
NIEDERADEN,27876700,263.7,4153914,3167683
LEVEN,27879900,3376,4134276,3181736
SYTHEN I,27888500,228.3,4131758,3189666
HALTERN,27891000,4294,4126681,3183826
SCHERMBECK 1,27897700,4836,4103254,3178411
GEMUEND,28229000,314.6,4072564,3057734
RANDERATH,28289000,111.1,4053054,3107421
STAH,28291000,1778,4048242,3116870
WEEZE,28679000,991.2,4058862,3175238
GREVEN,33300101,2557,4156746,3223198
RHEINE-UW,33900200,3579,4145958,3245150
DALUM,35500407,4848,4134607,3279807
VERSEN-WEHRDURCHSTICH,37300103,8322,4134706,3295125
GUENTHERS,41450056,183.7,4321351,3060485
HELDRA,41700105,4271,4334809,3112683
BISCHHAUSEN,41850054,150.3,4316698,3114119
NIDDAWITZHAUSEN,41890059,432.1,4320349,3117819
ALLENDORF,41900104,5169,4318668,3129532
LETZTER HELLER,41900206,5475,4300747,3144178
KAEMMERZELL,42350057,556.6,4295263,3054088
LUETTER,42360550,182.7,4291947,3052953
BAD SALZSCHLIRF,42430156,136.4,4285970,3056924
HERMANNSPIEGEL,42670557,419.2,4302228,3077374
ROTENBURG,42700100,2523,4301334,3099197
GREBENAU,42700202,2977,4285940,3120308
BAD HERSFELD 1,42710050,77.72,4301283,3083637
SCHMITTLOTHEIM,42800309,1195,4243917,3116642
AUHAMMER,42810204,488.2,4224467,3103578
MUESSE,42813190,124.1,4200695,3105704
ALSFELD,42880458,127.7,4270553,3072035
UTTERSHAUSEN,42882806,988.5,4273957,3106911
HEBEL,42883558,218.2,4276659,3107024
GUNTERSHAUSEN,42900100,6367,4283932,3124106
HANN.-MUENDEN,43100109,12440,4296014,3146152
WAHMBECK,43900105,13000,4287748,3168437
EHRINGEN,44480552,138.4,4261491,3141774
HELMARSHAUSEN,44950055,1747,4282942,3167323
KARLSHAFEN,45100100,14780,4282133,3171014
BODENWERDER,45300200,15930,4287709,3207161
VLOTHO,45900208,17620,4243183,3230235
LINDEMANNSHEIDE,46270000,318.2,4236438,3216806
AHMSEN,46390000,601.4,4232033,3220877
HERFORD,46510000,874.3,4229999,3225675
PORTA,47100100,19140,4247393,3238218
LIEBENAU,47500200,21180,4260873,3276486
CELLE,48300105,4925,4325248,3279266
MARKLENDORF,48700103,6168,4300959,3285963
HERRENHAUSEN,48800108,5301,4298925,3253220
SCHWARMSTEDT,48800301,6741,4294220,3286117
RETHEM,48900204,14180,4279363,3297983
HOF,56001502,460.6,4457332,3025319
RHEDA,311900000,240.7,4203606,3194944
